"","x"
"z[1000]",0.99959
"z[1001]",0.99964
"z[1002]",0.99959
"z[1003]",0.99959
"z[1004]",0.99965
"z[1005]",0.99973
"z[1006]",0.99971
"z[1007]",0.99976
"z[1008]",0.99976
"z[1009]",0.99978
"z[1010]",0.99973
"z[1011]",0.99966
"z[1012]",0.99958
"z[1013]",0.99966
"z[1014]",0.99966
"z[1015]",0.99965
"z[1016]",0.9997
"z[1017]",0.99944
"z[1018]",0.99917
"z[1019]",0.99958
"z[1020]",0.99965
"z[1021]",0.9997
"z[1022]",0.99982
"z[1023]",0.99983
"z[1024]",0.99977
"z[1025]",0.99973
"z[1026]",0.99971
"z[1027]",0.99967
"z[1028]",0.99963
"z[1029]",0.99957
"z[1030]",0.99931
"z[1031]",0.99877
"z[1032]",0.9984
"z[1033]",0.99737
"z[1034]",0.99554
"z[1035]",0.99115
"z[1036]",0.98085
"z[1037]",0.95763
"z[1038]",0.98131
"z[1039]",0.99139
"z[1040]",0.99563
"z[1041]",0.99722
"z[1042]",0.99895
"z[1043]",0.99941
"z[1044]",0.99956
"z[1045]",0.99973
"z[1046]",0.99965
"z[1047]",0.99948
"z[1048]",0.9992
"z[1049]",0.99889
"z[1050]",0.99819
"z[1051]",0.9992
"z[1052]",0.99951
"z[1053]",0.99942
"z[1054]",0.99943
"z[1055]",0.99953
"z[1056]",0.99957
"z[1057]",0.99952
"z[1058]",0.9995
"z[1059]",0.99949
"z[1060]",0.99952
"z[1061]",0.99958
"z[1062]",0.99968
"z[1063]",0.99957
"z[1064]",0.99924
"z[1065]",0.99854
"z[1066]",0.99705
"z[1067]",0.99321
"z[1068]",0.98624
"z[1069]",0.9696
"z[1070]",0.92643
"z[1071]",0.87931
"z[1072]",0.81926
"z[1073]",0.66799
"z[1074]",0.64385
"z[1075]",0.64726
"z[1076]",0.63577
"z[1077]",0.64765
"z[1078]",0.83176
"z[1079]",0.905
"z[1080]",0.94084
"z[1081]",0.97131
"z[1082]",0.98546
"z[1083]",0.99339
"z[1084]",0.99667
"z[1085]",0.99788
"z[1086]",0.99826
"z[1087]",0.99882
"z[1088]",0.99861
"z[1089]",0.99768
"z[1090]",0.99849
"z[1091]",0.9985
"z[1092]",0.99903
"z[1093]",0.99913
"z[1094]",0.99934
"z[1095]",0.99939
"z[1096]",0.99948
"z[1097]",0.99926
"z[1098]",0.99889
"z[1099]",0.9978
"z[1100]",0.99696
"z[1101]",0.99768
"z[1102]",0.99801
"z[1103]",0.99899
"z[1104]",0.99946
"z[1105]",0.9994
"z[1106]",0.99896
"z[1107]",0.99893
"z[1108]",0.99911
"z[1109]",0.99938
"z[1110]",0.99952
"z[1111]",0.99962
"z[1112]",0.99967
"z[1113]",0.99971
"z[1114]",0.99971
"z[1115]",0.99972
"z[1116]",0.99971
"z[1117]",0.99968
"z[1118]",0.99964
"z[1119]",0.99973
"z[1120]",0.99977
"z[1121]",0.99976
"z[1122]",0.99985
"z[1123]",0.99982
"z[1124]",0.99979
"z[1125]",0.99974
"z[1126]",0.99975
"z[1127]",0.99959
"z[1128]",0.99933
"z[1129]",0.99909
"z[1130]",0.99853
"z[1131]",0.99793
"z[1132]",0.99611
"z[1133]",0.99436
"z[1134]",0.99636
"z[1135]",0.99811
"z[1136]",0.99885
"z[1137]",0.99914
"z[1138]",0.99938
"z[1139]",0.99956
"z[1140]",0.99965
"z[1141]",0.99968
"z[1142]",0.99972
"z[1143]",0.99975
"z[1144]",0.9998
"z[1145]",0.99975
"z[1146]",0.99948
"z[1147]",0.99961
"z[1148]",0.99964
"z[1149]",0.99963
"z[1150]",0.99965
"z[1151]",0.99975
"z[1152]",0.99968
"z[1153]",0.99956
"z[1154]",0.99958
"z[1155]",0.99957
"z[1156]",0.99965
"z[1157]",0.99945
"z[1158]",0.99952
"z[1159]",0.99962
"z[1160]",0.99957
"z[1161]",0.99937
"z[1162]",0.99946
"z[1163]",0.99953
"z[1164]",0.99949
"z[1165]",0.99952
"z[1166]",0.99951
"z[1167]",0.99953
"z[1168]",0.9995
"z[1169]",0.99932
"z[1170]",0.99929
"z[1171]",0.99923
"z[1172]",0.99926
